tip_id,channel_id,channel_name,channel_slug,created_at,event_date,description,odds,stake,status,profit_loss,partial_percentage
6d6fc8e8-b417-4198-a70f-6614b35c5cef,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2023-08-17T17:27:29.608167+00:00,"Jogo 367 - Histórico - Championship",3.71,2,green,5.42,100
d379ea90-83c8-4cc0-8560-93b9a5d79539,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2023-09-24T20:38:50.424327+00:00,"Jogo 371 - Histórico - Championship",4.36,3,red,-3,100
822d060c-e2e7-479c-914f-f0f8001aa5a5,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2023-11-05T05:08:48.80951+00:00,"Jogo 364 - Histórico - Championship",3.74,3,red,-3,100
739d1522-be63-4d76-9425-f1e6eb6ff48f,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2023-11-09T23:29:24.534361+00:00,"Jogo 368 - Histórico - Championship",4.21,2,green,6.42,100
d0b5f707-dd14-4a98-85d4-db830c9a4999,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2023-12-13T20:47:06.846636+00:00,"Jogo 373 - Histórico - Championship",3.51,1,red,-1,100
f5e7674b-e0f2-44a4-b117-ef71fda86ee4,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-02-08T10:08:12.43391+00:00,"Jogo 374 - Histórico - Championship",3.19,3,green,6.57,100
a8c58b01-a1a8-48fa-be15-f9d0d533e975,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-03-04T11:52:12.20311+00:00,"Jogo 365 - Histórico - Championship",1.84,2,green,1.68,100
f6015d39-3989-4c87-bdcd-05f786c47acf,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-03-05T05:43:46.82937+00:00,"Jogo 372 - Histórico - Championship",4.93,3,green,11.79,100
d6d4dc10-bd07-4702-977e-699508c7b1aa,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-03-30T20:38:00.71292+00:00,"Jogo 366 - Histórico - Championship",4.29,1,green,3.29,100
5679f450-26cd-4157-84c5-535483a63176,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-04-17T23:11:52.015337+00:00,"Jogo 362 - Histórico - Championship",2.11,2,red,-2,100
3d8d344f-52e2-4cfe-bd94-c8a56aa0a4ea,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-04-25T13:52:38.053573+00:00,"Jogo 361 - Histórico - Championship",3.22,2,red,-2,100
012470f3-0869-4e65-b14f-f87166c69bf1,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-05-13T23:38:32.775211+00:00,"Jogo 375 - Histórico - Championship",3.44,2,green,4.88,100
bc858d75-a906-44fc-bd2e-400b7abdc395,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-06-07T23:54:42.817551+00:00,"Jogo 369 - Histórico - Championship",3.44,3,red,-3,100
6cd3da2a-fe05-43c5-a69e-53f92a559112,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-06-30T05:53:53.534083+00:00,"Jogo 363 - Histórico - Championship",2.53,2,green,3.06,100
37993d1c-0674-4f80-baae-8c703bfa6cdb,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:25:10.933256+00:00,2024-07-11T17:58:24.785595+00:00,"Jogo 370 - Histórico - Championship",1.94,3,red,-3,100
5bf89c5a-5d77-4e08-b7d5-43eacd5d88ba,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:24:50.775475+00:00,2024-08-05T11:14:24.45831+00:00,"Jogo 172 - Ano passado - Premier League",2.6,1,red,-1,100
713089cf-13bd-4e94-8c2b-21e97834df3a,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:24:50.775475+00:00,2024-08-09T18:11:04.462069+00:00,"Jogo 180 - Ano passado - Premier League",3.78,3,red,-3,100
a5ce1a93-3af2-418f-a757-e5d2f6a76571,1,Futebol Europeu Premium,futebol-europeu-premium,2025-08-04T12:24:50.775475+00:00,2024-08-22T01:07:29.532229+00:00,"Jogo 183 - Ano passado - Premier League",2.56,2,red,-2,100
